depth,dose,ssd,field_size
0.025004,18.832998,100,10
0.050009,22.254962,100,10
0.075013,25.676912,100,10
0.100018,29.098849,100,10
0.125022,32.520772,100,10
0.150026,35.942682,100,10
0.175031,39.364577,100,10
0.200035,42.786459,100,10
0.22504,46.208328,100,10
0.250044,49.630182,100,10
0.275049,51.450784,100,10
0.300053,52.915768,100,10
0.325057,54.380766,100,10
0.350062,55.845779,100,10
0.375066,57.310807,100,10
0.400071,58.775849,100,10
0.425075,60.240906,100,10
0.450079,61.705978,100,10
0.475084,63.171064,100,10
0.500088,64.636165,100,10
0.525093,65.897895,100,10
0.550097,67.114952,100,10
0.575101,68.332011,100,10
0.600106,69.549073,100,10
0.62511,70.766138,100,10
0.650115,71.983205,100,10
0.675119,73.200275,100,10
0.700123,74.417347,100,10
0.725128,75.634421,100,10
0.750132,76.851498,100,10
0.775137,77.634569,100,10
0.800141,78.323361,100,10
0.825146,79.012157,100,10
0.85015,79.700958,100,10
0.875154,80.389764,100,10
0.900159,81.078575,100,10
0.925163,81.76739,100,10
0.950168,82.45621,100,10
0.975172,83.145035,100,10
1.000176,83.833865,100,10
1.025181,84.426025,100,10
1.050185,84.997419,100,10
1.07519,85.568813,100,10
1.100194,86.140208,100,10
1.125198,86.711603,100,10
1.150203,87.282998,100,10
1.175207,87.854393,100,10
1.200212,88.425789,100,10
1.225216,88.997185,100,10
1.250221,89.568582,100,10
1.275225,89.947753,100,10
1.300229,90.286096,100,10
1.325234,90.624442,100,10
1.350238,90.962791,100,10
1.375243,91.301144,100,10
1.400247,91.639499,100,10
1.425251,91.977858,100,10
1.450256,92.316219,100,10
1.47526,92.654584,100,10
1.500265,92.992952,100,10
1.525269,93.288483,100,10
1.550273,93.575017,100,10
1.575278,93.86155,100,10
1.600282,94.148081,100,10
1.625287,94.434612,100,10
1.650291,94.721142,100,10
1.675295,95.007671,100,10
1.7003,95.294199,100,10
1.725304,95.580726,100,10
1.750309,95.867252,100,10
1.775313,96.054173,100,10
1.800318,96.220416,100,10
1.825322,96.386662,100,10
1.850326,96.552912,100,10
1.875331,96.719165,100,10
1.900335,96.885421,100,10
1.92534,97.051681,100,10
1.950344,97.217945,100,10
1.975348,97.384211,100,10
2.000353,97.550481,100,10
2.025357,97.69329,100,10
2.050362,97.831282,100,10
2.075366,97.969275,100,10
2.10037,98.107269,100,10
2.125375,98.245264,100,10
2.150379,98.383259,100,10
2.175384,98.521254,100,10
2.200388,98.659251,100,10
2.225393,98.797248,100,10
2.250397,98.935245,100,10
2.275401,99.008825,100,10
2.300406,99.069337,100,10
2.32541,99.129849,100,10
