depth,dose,ssd,field_size
0,86.553225,100,10
0.025004,86.687255,100,10
0.050007,86.821268,100,10
0.075011,86.955263,100,10
0.100015,87.089241,100,10
0.125018,87.223201,100,10
0.150022,87.357143,100,10
0.175026,87.491068,100,10
0.200029,87.624975,100,10
0.225033,87.75838,100,10
0.250036,87.890697,100,10
0.27504,88.023006,100,10
0.300044,88.155307,100,10
0.325047,88.287601,100,10
0.350051,88.419887,100,10
0.375055,88.552165,100,10
0.400058,88.684435,100,10
0.425062,88.816697,100,10
0.450066,88.948952,100,10
0.475069,89.080189,100,10
0.500073,89.209199,100,10
0.525077,89.338212,100,10
0.55008,89.467227,100,10
0.575084,89.596244,100,10
0.600088,89.725263,100,10
0.625091,89.854286,100,10
0.650095,89.98331,100,10
0.675099,90.112337,100,10
0.700102,90.241366,100,10
0.725106,90.375312,100,10
0.750109,90.520019,100,10
0.775113,90.664721,100,10
0.800117,90.809418,100,10
0.82512,90.954111,100,10
0.850124,91.098798,100,10
0.875128,91.243481,100,10
0.900131,91.388159,100,10
0.925135,91.532832,100,10
0.950139,91.6775,100,10
0.975142,91.821555,100,10
1.000146,91.964275,100,10
1.02515,92.106984,100,10
1.050153,92.249681,100,10
1.075157,92.392366,100,10
1.100161,92.535039,100,10
1.125164,92.6777,100,10
1.150168,92.820349,100,10
1.175171,92.962986,100,10
1.200175,93.105611,100,10
1.225179,93.249128,100,10
1.250182,93.394591,100,10
1.275186,93.540043,100,10
1.30019,93.685484,100,10
1.325193,93.830914,100,10
1.350197,93.976332,100,10
1.375201,94.12174,100,10
1.400204,94.267136,100,10
1.425208,94.412522,100,10
1.450212,94.557896,100,10
1.475215,94.704285,100,10
1.500219,94.852868,100,10
1.525223,95.001439,100,10
1.550226,95.149998,100,10
1.57523,95.298544,100,10
1.600233,95.447079,100,10
1.625237,95.595602,100,10
1.650241,95.744112,100,10
1.675244,95.892611,100,10
1.700248,96.041098,100,10
1.725252,96.189538,100,10
1.750255,96.337899,100,10
1.775259,96.486254,100,10
1.800263,96.634604,100,10
1.825266,96.782948,100,10
1.85027,96.931286,100,10
1.875274,97.07962,100,10
1.900277,97.227948,100,10
1.925281,97.37627,100,10
1.950285,97.524587,100,10
1.975288,97.666086,100,10
2.000292,97.793122,100,10
2.025296,97.92017,100,10
2.050299,98.047229,100,10
2.075303,98.1743,100,10
2.100306,98.301382,100,10
2.12531,98.428475,100,10
2.150314,98.55558,100,10
2.175317,98.682696,100,10
2.200321,98.809824,100,10
2.225325,98.920463,100,10
2.250328,98.996288,100,10
2.275332,99.072132,100,10
2.300336,99.147997,100,10
2.325339,99.223882,100,10
2.350343,99.299786,100,10
2.375347,99.375711,100,10
2.40035,99.451655,100,10
2.425354,99.52762,100,10
2.450358,99.603604,100,10
2.475361,99.654447,100,10
2.500365,99.652526,100,10
2.525368,99.650629,100,10
2.550372,99.648756,100,10
2.575376,99.646908,100,10
2.600379,99.645085,100,10
2.625383,99.643286,100,10
2.650387,99.641512,100,10
2.67539,99.639762,100,10
2.700394,99.638036,100,10
2.725398,99.60635,100,10
2.750401,99.512154,100,10
2.775405,99.417975,100,10
2.800409,99.323812,100,10
2.825412,99.229665,100,10
2.850416,99.135535,100,10
2.87542,99.041421,100,10
2.900423,98.947324,100,10
2.925427,98.853243,100,10
2.950431,98.759178,100,10
