depth,dose,ssd,field_size
5.682972,0.803224,100,10
5.708008,0.797902,100,10
5.733043,0.79258,100,10
5.758078,0.78587,100,10
5.783113,0.776814,100,10
5.808148,0.767757,100,10
5.833183,0.758701,100,10
5.858218,0.749644,100,10
5.883253,0.740588,100,10
5.908289,0.731531,100,10
5.933324,0.722474,100,10
5.958359,0.713417,100,10
5.983394,0.704361,100,10
6.008429,0.696495,100,10
6.033464,0.690528,100,10
6.058499,0.68456,100,10
6.083534,0.678593,100,10
6.10857,0.672625,100,10
6.133605,0.666658,100,10
6.15864,0.66069,100,10
6.183675,0.654722,100,10
6.20871,0.648755,100,10
6.233745,0.642787,100,10
6.25878,0.638469,100,10
6.283815,0.636626,100,10
6.308851,0.634784,100,10
6.333886,0.632941,100,10
6.358921,0.631099,100,10
6.383956,0.629256,100,10
6.408991,0.627414,100,10
6.434026,0.625572,100,10
6.459061,0.623729,100,10
6.484096,0.621887,100,10
6.509132,0.620596,100,10
6.534167,0.620085,100,10
6.559202,0.619574,100,10
6.584237,0.619063,100,10
6.609272,0.618553,100,10
6.634307,0.618042,100,10
6.659342,0.617531,100,10
6.684377,0.617021,100,10
6.709413,0.61651,100,10
6.734448,0.615999,100,10
6.759483,0.615668,100,10
6.784518,0.615578,100,10
6.809553,0.615487,100,10
6.834588,0.615397,100,10
6.859623,0.615306,100,10
6.884658,0.615216,100,10
6.909693,0.615126,100,10
6.934729,0.615035,100,10
6.959764,0.614945,100,10
6.984799,0.614854,100,10
7.009834,0.614844,100,10
7.034869,0.614937,100,10
7.059904,0.615029,100,10
7.084939,0.615122,100,10
7.109974,0.615214,100,10
7.13501,0.615307,100,10
7.160045,0.615399,100,10
7.18508,0.615491,100,10
7.210115,0.615584,100,10
7.23515,0.615676,100,10
7.260185,0.615705,100,10
7.28522,0.615658,100,10
7.310255,0.615611,100,10
7.335291,0.615564,100,10
7.360326,0.615517,100,10
7.385361,0.61547,100,10
7.410396,0.615422,100,10
7.435431,0.615375,100,10
7.460466,0.615328,100,10
7.485501,0.615281,100,10
7.510536,0.614979,100,10
7.535572,0.614389,100,10
7.560607,0.613799,100,10
7.585642,0.613208,100,10
7.610677,0.612618,100,10
7.635712,0.612028,100,10
7.660747,0.611438,100,10
7.685782,0.610847,100,10
7.710817,0.610257,100,10
7.735853,0.609667,100,10
7.760888,0.60888,100,10
7.785923,0.607885,100,10
7.810958,0.60689,100,10
7.835993,0.605895,100,10
7.861028,0.6049,100,10
7.886063,0.603905,100,10
7.911098,0.60291,100,10
7.936134,0.601914,100,10
7.961169,0.600919,100,10
7.986204,0.599924,100,10
8.011239,0.599056,100,10
8.036274,0.598317,100,10
8.061309,0.597578,100,10
8.086344,0.596839,100,10
8.111379,0.5961,100,10
8.136415,0.595361,100,10
8.16145,0.594622,100,10
8.186485,0.593883,100,10
8.21152,0.593144,100,10
8.236555,0.592404,100,10
8.26159,0.591902,100,10
8.286625,0.591624,100,10
8.31166,0.591347,100,10
8.336695,0.59107,100,10
8.361731,0.590793,100,10
8.386766,0.590515,100,10
8.411801,0.590238,100,10
8.436836,0.589961,100,10
8.461871,0.589684,100,10
8.486906,0.589407,100,10
8.511941,0.589488,100,10
8.536976,0.589894,100,10
8.562012,0.590299,100,10
8.587047,0.590704,100,10
8.612082,0.591109,100,10
8.637117,0.591514,100,10
8.662152,0.59192,100,10
8.687187,0.592325,100,10
8.712222,0.59273,100,10
8.737257,0.593136,100,10
8.762293,0.593845,100,10
8.787328,0.594812,100,10
8.812363,0.59578,100,10
8.837398,0.596747,100,10
8.862433,0.597715,100,10
8.887468,0.598682,100,10
8.912503,0.59965,100,10
8.937538,0.600618,100,10
8.962574,0.601585,100,10
8.987609,0.602553,100,10
9.012644,0.603272,100,10
9.037679,0.60379,100,10
9.062714,0.604309,100,10
9.087749,0.604827,100,10
9.112784,0.605346,100,10
9.137819,0.605864,100,10
9.162855,0.606383,100,10
9.18789,0.606901,100,10
9.212925,0.60742,100,10
9.23796,0.607938,100,10
9.262995,0.607999,100,10
9.28803,0.60771,100,10
9.313065,0.607422,100,10
9.3381,0.607133,100,10
9.363136,0.606845,100,10
9.388171,0.606557,100,10
9.413206,0.606268,100,10
9.438241,0.60598,100,10
9.463276,0.605692,100,10
9.488311,0.605403,100,10
9.513346,0.604554,100,10
9.538381,0.603302,100,10
9.563417,0.602049,100,10
9.588452,0.600797,100,10
9.613487,0.599544,100,10
9.638522,0.598292,100,10
9.663557,0.59704,100,10
9.688592,0.595787,100,10
9.713627,0.594535,100,10
9.738662,0.593282,100,10
9.763697,0.591685,100,10
9.788733,0.589854,100,10
9.813768,0.588024,100,10
9.838803,0.586193,100,10
9.863838,0.584362,100,10
9.888873,0.582531,100,10
9.913908,0.5807,100,10
9.938943,0.578869,100,10
9.963978,0.577038,100,10
9.989014,0.575207,100,10
10.014049,0.573822,100,10
10.039084,0.572723,100,10
10.064119,0.571624,100,10
10.089154,0.570525,100,10
10.114189,0.569425,100,10
10.139224,0.568326,100,10
10.164259,0.567227,100,10
10.189295,0.566127,100,10
10.21433,0.565028,100,10
10.239365,0.563928,100,10
10.2644,0.563264,100,10
10.289435,0.562861,100,10
10.31447,0.562459,100,10
10.339505,0.562056,100,10
10.36454,0.561653,100,10
10.389576,0.561251,100,10
10.414611,0.560848,100,10
10.439646,0.560446,100,10
10.464681,0.560043,100,10
10.489716,0.55964,100,10
10.514751,0.559317,100,10
10.539786,0.55904,100,10
10.564821,0.558762,100,10
10.589857,0.558484,100,10
10.614892,0.558207,100,10
10.639927,0.557929,100,10
10.664962,0.557651,100,10
10.689997,0.557374,100,10
10.715032,0.557096,100,10
10.740067,0.556819,100,10
10.765102,0.556605,100,10
10.790138,0.556425,100,10
10.815173,0.556246,100,10
10.840208,0.556066,100,10
10.865243,0.555886,100,10
10.890278,0.555707,100,10
10.915313,0.555528,100,10
10.940348,0.555348,100,10
10.965383,0.555169,100,10
10.990419,0.55499,100,10
11.015454,0.554899,100,10
11.040489,0.554854,100,10
11.065524,0.554808,100,10
11.090559,0.554763,100,10
11.115594,0.554717,100,10
11.140629,0.554672,100,10
11.165664,0.554626,100,10
11.190699,0.554581,100,10
11.215735,0.554536,100,10
11.24077,0.554491,100,10
11.265805,0.554552,100,10
11.29084,0.554663,100,10
11.315875,0.554775,100,10
11.34091,0.554887,100,10
11.365945,0.554998,100,10
11.39098,0.55511,100,10
11.416016,0.555221,100,10
11.441051,0.555333,100,10
11.466086,0.555445,100,10
11.491121,0.555556,100,10
11.516156,0.556221,100,10
11.541191,0.557128,100,10
11.566226,0.558035,100,10
11.591261,0.558943,100,10
11.616297,0.55985,100,10
11.641332,0.560758,100,10
11.666367,0.561665,100,10
11.691402,0.562573,100,10
11.716437,0.56348,100,10
11.741472,0.564388,100,10
11.766507,0.565836,100,10
11.791542,0.567506,100,10
11.816578,0.569177,100,10
11.841613,0.570848,100,10
11.866648,0.572519,100,10
11.891683,0.57419,100,10
11.916718,0.57586,100,10
11.941753,0.577531,100,10
11.966788,0.579202,100,10
11.991823,0.580872,100,10
12.016859,0.582072,100,10
12.041894,0.583091,100,10
12.066929,0.584109,100,10
12.091964,0.585128,100,10
12.116999,0.586146,100,10
12.142034,0.587165,100,10
12.167069,0.588183,100,10
12.192104,0.589202,100,10
12.21714,0.59022,100,10
12.242175,0.591239,100,10
12.26721,0.591553,100,10
12.292245,0.591614,100,10
12.31728,0.591675,100,10
12.342315,0.591736,100,10
12.36735,0.591797,100,10
12.392385,0.591858,100,10
12.417421,0.591919,100,10
12.442456,0.59198,100,10
12.467491,0.592041,100,10
12.492526,0.592102,100,10
12.517561,0.591555,100,10
12.542596,0.590805,100,10
12.567631,0.590056,100,10
12.592666,0.589306,100,10
12.617701,0.588557,100,10
12.642737,0.587808,100,10
12.667772,0.587058,100,10
12.692807,0.586309,100,10
12.717842,0.58556,100,10
12.742877,0.58481,100,10
12.767912,0.583639,100,10
12.792947,0.582338,100,10
12.817982,0.581037,100,10
12.843018,0.579735,100,10
12.868053,0.578434,100,10
12.893088,0.577133,100,10
