offset,dose,field_size,depth
-15.00,0.91,10,20.00
-14.90,0.93,10,20.00
-14.80,0.95,10,20.00
-14.70,0.97,10,20.00
-14.60,0.99,10,20.00
-14.50,1.01,10,20.00
-14.40,1.03,10,20.00
-14.30,1.05,10,20.00
-14.20,1.07,10,20.00
-14.10,1.09,10,20.00
-14.00,1.11,10,20.00
-13.90,1.13,10,20.00
-13.80,1.15,10,20.00
-13.70,1.17,10,20.00
-13.60,1.19,10,20.00
-13.50,1.22,10,20.00
-13.40,1.23,10,20.00
-13.30,1.25,10,20.00
-13.20,1.27,10,20.00
-13.10,1.29,10,20.00
-13.00,1.31,10,20.00
-12.90,1.35,10,20.00
-12.80,1.38,10,20.00
-12.70,1.41,10,20.00
-12.60,1.44,10,20.00
-12.50,1.47,10,20.00
-12.40,1.50,10,20.00
-12.30,1.54,10,20.00
-12.20,1.57,10,20.00
-12.10,1.60,10,20.00
-12.00,1.63,10,20.00
-11.90,1.66,10,20.00
-11.80,1.69,10,20.00
-11.70,1.73,10,20.00
-11.60,1.76,10,20.00
-11.50,1.79,10,20.00
-11.40,1.82,10,20.00
-11.30,1.85,10,20.00
-11.20,1.89,10,20.00
-11.10,1.92,10,20.00
-11.00,1.95,10,20.00
-10.90,2.00,10,20.00
-10.80,2.06,10,20.00
-10.70,2.11,10,20.00
-10.60,2.16,10,20.00
-10.50,2.22,10,20.00
-10.40,2.27,10,20.00
-10.30,2.33,10,20.00
-10.20,2.38,10,20.00
-10.10,2.44,10,20.00
-10.00,2.49,10,20.00
-9.90,2.55,10,20.00
-9.80,2.60,10,20.00
-9.70,2.65,10,20.00
-9.60,2.71,10,20.00
-9.50,2.76,10,20.00
-9.40,2.82,10,20.00
-9.30,2.87,10,20.00
-9.20,2.94,10,20.00
-9.10,3.02,10,20.00
-9.00,3.10,10,20.00
-8.90,3.17,10,20.00
-8.80,3.24,10,20.00
-8.70,3.31,10,20.00
-8.60,3.38,10,20.00
-8.50,3.45,10,20.00
-8.40,3.52,10,20.00
-8.30,3.59,10,20.00
-8.20,3.66,10,20.00
-8.10,3.73,10,20.00
-8.00,3.79,10,20.00
-7.90,3.88,10,20.00
-7.80,3.96,10,20.00
-7.70,4.04,10,20.00
-7.60,4.13,10,20.00
-7.50,4.21,10,20.00
-7.40,4.29,10,20.00
-7.30,4.38,10,20.00
-7.20,4.48,10,20.00
-7.10,4.61,10,20.00
-7.00,4.74,10,20.00
-6.90,4.91,10,20.00
-6.80,5.07,10,20.00
-6.70,5.51,10,20.00
-6.60,6.21,10,20.00
-6.50,6.91,10,20.00
-6.40,8.62,10,20.00
-6.30,10.34,10,20.00
-6.20,12.98,10,20.00
-6.10,16.55,10,20.00
-6.00,20.12,10,20.00
-5.90,24.35,10,20.00
-5.80,28.58,10,20.00
-5.70,31.51,10,20.00
-5.60,33.15,10,20.00
-5.50,34.78,10,20.00
-5.40,35.12,10,20.00
-5.30,35.46,10,20.00
-5.20,35.74,10,20.00
-5.10,35.98,10,20.00
-5.00,36.21,10,20.00
-4.90,36.32,10,20.00
-4.80,36.43,10,20.00
-4.70,36.53,10,20.00
-4.60,36.62,10,20.00
-4.50,36.71,10,20.00
-4.40,36.80,10,20.00
-4.30,36.89,10,20.00
-4.20,36.98,10,20.00
-4.10,37.07,10,20.00
-4.00,37.15,10,20.00
-3.90,37.23,10,20.00
-3.80,37.30,10,20.00
-3.70,37.37,10,20.00
-3.60,37.44,10,20.00
-3.50,37.51,10,20.00
-3.40,37.57,10,20.00
-3.30,37.63,10,20.00
-3.20,37.69,10,20.00
-3.10,37.74,10,20.00
-3.00,37.80,10,20.00
-2.90,37.84,10,20.00
-2.80,37.89,10,20.00
-2.70,37.93,10,20.00
-2.60,37.96,10,20.00
-2.50,37.99,10,20.00
-2.40,38.02,10,20.00
-2.30,38.05,10,20.00
-2.20,38.07,10,20.00
-2.10,38.10,10,20.00
-2.00,38.13,10,20.00
-1.90,38.16,10,20.00
-1.80,38.20,10,20.00
-1.70,38.22,10,20.00
-1.60,38.24,10,20.00
-1.50,38.26,10,20.00
-1.40,38.28,10,20.00
-1.30,38.30,10,20.00
-1.20,38.32,10,20.00
-1.10,38.34,10,20.00
-1.00,38.35,10,20.00
-0.90,38.36,10,20.00
-0.80,38.37,10,20.00
-0.70,38.38,10,20.00
-0.60,38.39,10,20.00
-0.50,38.40,10,20.00
-0.40,38.39,10,20.00
-0.30,38.39,10,20.00
-0.20,38.39,10,20.00
-0.10,38.38,10,20.00
0.00,38.38,10,20.00
0.10,38.39,10,20.00
0.20,38.39,10,20.00
0.30,38.39,10,20.00
0.40,38.39,10,20.00
0.50,38.39,10,20.00
0.60,38.38,10,20.00
0.70,38.37,10,20.00
0.80,38.36,10,20.00
0.90,38.35,10,20.00
1.00,38.34,10,20.00
1.10,38.33,10,20.00
1.20,38.31,10,20.00
1.30,38.29,10,20.00
1.40,38.28,10,20.00
1.50,38.26,10,20.00
1.60,38.24,10,20.00
1.70,38.22,10,20.00
1.80,38.19,10,20.00
1.90,38.17,10,20.00
2.00,38.14,10,20.00
2.10,38.12,10,20.00
2.20,38.10,10,20.00
2.30,38.07,10,20.00
2.40,38.04,10,20.00
2.50,38.01,10,20.00
2.60,37.99,10,20.00
2.70,37.96,10,20.00
2.80,37.93,10,20.00
2.90,37.88,10,20.00
3.00,37.84,10,20.00
3.10,37.79,10,20.00
3.20,37.74,10,20.00
3.30,37.69,10,20.00
3.40,37.63,10,20.00
3.50,37.57,10,20.00
3.60,37.50,10,20.00
3.70,37.43,10,20.00
3.80,37.36,10,20.00
3.90,37.28,10,20.00
4.00,37.21,10,20.00
