offset,dose,field_size,depth
-15.00,0.70,10,10.00
-14.90,0.72,10,10.00
-14.80,0.73,10,10.00
-14.70,0.75,10,10.00
-14.60,0.76,10,10.00
-14.50,0.78,10,10.00
-14.40,0.79,10,10.00
-14.30,0.81,10,10.00
-14.20,0.82,10,10.00
-14.10,0.84,10,10.00
-14.00,0.85,10,10.00
-13.90,0.87,10,10.00
-13.80,0.88,10,10.00
-13.70,0.89,10,10.00
-13.60,0.91,10,10.00
-13.50,0.92,10,10.00
-13.40,0.94,10,10.00
-13.30,0.95,10,10.00
-13.20,0.97,10,10.00
-13.10,1.00,10,10.00
-13.00,1.02,10,10.00
-12.90,1.04,10,10.00
-12.80,1.06,10,10.00
-12.70,1.09,10,10.00
-12.60,1.11,10,10.00
-12.50,1.13,10,10.00
-12.40,1.15,10,10.00
-12.30,1.18,10,10.00
-12.20,1.20,10,10.00
-12.10,1.22,10,10.00
-12.00,1.25,10,10.00
-11.90,1.27,10,10.00
-11.80,1.29,10,10.00
-11.70,1.32,10,10.00
-11.60,1.34,10,10.00
-11.50,1.36,10,10.00
-11.40,1.39,10,10.00
-11.30,1.41,10,10.00
-11.20,1.44,10,10.00
-11.10,1.49,10,10.00
-11.00,1.53,10,10.00
-10.90,1.57,10,10.00
-10.80,1.62,10,10.00
-10.70,1.66,10,10.00
-10.60,1.70,10,10.00
-10.50,1.75,10,10.00
-10.40,1.79,10,10.00
-10.30,1.84,10,10.00
-10.20,1.88,10,10.00
-10.10,1.92,10,10.00
-10.00,1.97,10,10.00
-9.90,2.01,10,10.00
-9.80,2.06,10,10.00
-9.70,2.10,10,10.00
-9.60,2.14,10,10.00
-9.50,2.19,10,10.00
-9.40,2.23,10,10.00
-9.30,2.27,10,10.00
-9.20,2.33,10,10.00
-9.10,2.41,10,10.00
-9.00,2.49,10,10.00
-8.90,2.56,10,10.00
-8.80,2.63,10,10.00
-8.70,2.70,10,10.00
-8.60,2.77,10,10.00
-8.50,2.84,10,10.00
-8.40,2.91,10,10.00
-8.30,2.98,10,10.00
-8.20,3.06,10,10.00
-8.10,3.16,10,10.00
-8.00,3.26,10,10.00
-7.90,3.38,10,10.00
-7.80,3.50,10,10.00
-7.70,3.62,10,10.00
-7.60,3.74,10,10.00
-7.50,3.86,10,10.00
-7.40,3.98,10,10.00
-7.30,4.10,10,10.00
-7.20,4.23,10,10.00
-7.10,4.37,10,10.00
-7.00,4.51,10,10.00
-6.90,4.66,10,10.00
-6.80,4.81,10,10.00
-6.70,4.97,10,10.00
-6.60,5.14,10,10.00
-6.50,5.31,10,10.00
-6.40,5.48,10,10.00
-6.30,5.66,10,10.00
-6.20,6.22,10,10.00
-6.10,7.15,10,10.00
-6.00,8.09,10,10.00
-5.90,10.38,10,10.00
-5.80,12.67,10,10.00
-5.70,16.80,10,10.00
-5.60,22.77,10,10.00
-5.50,28.74,10,10.00
-5.40,36.56,10,10.00
-5.30,44.39,10,10.00
