offset,dose,field_size,depth
-5.00,0.12,10,1.25
-4.90,0.12,10,1.25
-4.80,0.12,10,1.25
-4.70,0.13,10,1.25
-4.60,0.13,10,1.25
-4.50,0.13,10,1.25
-4.40,0.14,10,1.25
-4.30,0.14,10,1.25
-4.20,0.15,10,1.25
-4.10,0.15,10,1.25
-4.00,0.16,10,1.25
-3.90,0.17,10,1.25
-3.80,0.17,10,1.25
-3.70,0.18,10,1.25
-3.60,0.19,10,1.25
-3.50,0.20,10,1.25
-3.40,0.21,10,1.25
-3.30,0.22,10,1.25
-3.20,0.23,10,1.25
-3.10,0.24,10,1.25
-3.00,0.25,10,1.25
-2.90,0.29,10,1.25
-2.80,0.32,10,1.25
-2.70,0.36,10,1.25
-2.60,0.39,10,1.25
-2.50,0.43,10,1.25
-2.40,0.46,10,1.25
-2.30,0.50,10,1.25
-2.20,0.57,10,1.25
-2.10,0.69,10,1.25
-2.00,0.81,10,1.25
-1.90,0.98,10,1.25
-1.80,1.16,10,1.25
-1.70,1.59,10,1.25
-1.60,2.29,10,1.25
-1.50,2.98,10,1.25
-1.40,6.77,10,1.25
-1.30,10.55,10,1.25
-1.20,19.39,10,1.25
-1.10,33.29,10,1.25
-1.00,47.18,10,1.25
-0.90,60.19,10,1.25
-0.80,73.20,10,1.25
-0.70,81.29,10,1.25
-0.60,84.46,10,1.25
-0.50,87.63,10,1.25
-0.40,88.07,10,1.25
-0.30,88.51,10,1.25
-0.20,88.83,10,1.25
-0.10,89.03,10,1.25
0.00,89.23,10,1.25
0.10,89.28,10,1.25
0.20,89.32,10,1.25
0.30,88.88,10,1.25
0.40,87.96,10,1.25
0.50,87.03,10,1.25
0.60,84.21,10,1.25
0.70,81.38,10,1.25
0.80,73.48,10,1.25
0.90,60.49,10,1.25
1.00,47.51,10,1.25
1.10,33.47,10,1.25
1.20,19.43,10,1.25
1.30,10.50,10,1.25
1.40,6.68,10,1.25
1.50,2.85,10,1.25
1.60,2.31,10,1.25
1.70,1.76,10,1.25
1.80,1.31,10,1.25
1.90,0.97,10,1.25
2.00,0.63,10,1.25
2.10,0.59,10,1.25
2.20,0.54,10,1.25
2.30,0.50,10,1.25
2.40,0.46,10,1.25
2.50,0.41,10,1.25
2.60,0.37,10,1.25
2.70,0.33,10,1.25
2.80,0.29,10,1.25
2.90,0.27,10,1.25
3.00,0.24,10,1.25
3.10,0.23,10,1.25
3.20,0.22,10,1.25
3.30,0.22,10,1.25
3.40,0.21,10,1.25
3.50,0.20,10,1.25
3.60,0.19,10,1.25
3.70,0.18,10,1.25
3.80,0.17,10,1.25
3.90,0.16,10,1.25
4.00,0.15,10,1.25
4.10,0.15,10,1.25
4.20,0.14,10,1.25
4.30,0.14,10,1.25
4.40,0.14,10,1.25
4.50,0.13,10,1.25
4.60,0.13,10,1.25
4.70,0.12,10,1.25
4.80,0.12,10,1.25
4.90,0.11,10,1.25
5.00,0.11,10,1.25
