offset,dose,field_size,depth
-15.00,3.94,10,20.00
-14.90,4.03,10,20.00
-14.80,4.11,10,20.00
-14.70,4.20,10,20.00
-14.60,4.28,10,20.00
-14.50,4.37,10,20.00
-14.40,4.45,10,20.00
-14.30,4.54,10,20.00
-14.20,4.62,10,20.00
-14.10,4.69,10,20.00
-14.00,4.76,10,20.00
-13.90,4.86,10,20.00
-13.80,4.95,10,20.00
-13.70,5.04,10,20.00
-13.60,5.14,10,20.00
-13.50,5.23,10,20.00
-13.40,5.32,10,20.00
-13.30,5.41,10,20.00
-13.20,5.50,10,20.00
-13.10,5.59,10,20.00
-13.00,5.68,10,20.00
-12.90,5.77,10,20.00
-12.80,5.86,10,20.00
-12.70,6.14,10,20.00
-12.60,6.61,10,20.00
-12.50,7.08,10,20.00
-12.40,8.16,10,20.00
-12.30,9.24,10,20.00
-12.20,11.12,10,20.00
-12.10,13.81,10,20.00
-12.00,16.49,10,20.00
-11.90,19.76,10,20.00
-11.80,23.03,10,20.00
-11.70,25.18,10,20.00
-11.60,26.22,10,20.00
-11.50,27.26,10,20.00
-11.40,27.62,10,20.00
-11.30,27.99,10,20.00
-11.20,28.29,10,20.00
-11.10,28.52,10,20.00
-11.00,28.74,10,20.00
-10.90,28.92,10,20.00
-10.80,29.10,10,20.00
-10.70,29.27,10,20.00
-10.60,29.43,10,20.00
-10.50,29.59,10,20.00
-10.40,29.75,10,20.00
-10.30,29.91,10,20.00
-10.20,30.07,10,20.00
-10.10,30.22,10,20.00
-10.00,30.36,10,20.00
-9.90,30.52,10,20.00
-9.80,30.68,10,20.00
-9.70,30.83,10,20.00
-9.60,30.98,10,20.00
-9.50,31.13,10,20.00
-9.40,31.29,10,20.00
-9.30,31.45,10,20.00
-9.20,31.60,10,20.00
-9.10,31.75,10,20.00
-9.00,31.91,10,20.00
-8.90,32.07,10,20.00
-8.80,32.23,10,20.00
-8.70,32.37,10,20.00
-8.60,32.51,10,20.00
-8.50,32.65,10,20.00
-8.40,32.80,10,20.00
-8.30,32.96,10,20.00
-8.20,33.10,10,20.00
-8.10,33.24,10,20.00
-8.00,33.38,10,20.00
-7.90,33.52,10,20.00
-7.80,33.66,10,20.00
-7.70,33.80,10,20.00
-7.60,33.93,10,20.00
-7.50,34.06,10,20.00
-7.40,34.19,10,20.00
-7.30,34.32,10,20.00
-7.20,34.45,10,20.00
-7.10,34.56,10,20.00
-7.00,34.67,10,20.00
-6.90,34.79,10,20.00
-6.80,34.92,10,20.00
-6.70,35.03,10,20.00
-6.60,35.15,10,20.00
-6.50,35.27,10,20.00
-6.40,35.39,10,20.00
-6.30,35.52,10,20.00
-6.20,35.64,10,20.00
-6.10,35.76,10,20.00
-6.00,35.87,10,20.00
-5.90,36.00,10,20.00
-5.80,36.12,10,20.00
-5.70,36.23,10,20.00
-5.60,36.33,10,20.00
-5.50,36.43,10,20.00
-5.40,36.54,10,20.00
-5.30,36.66,10,20.00
-5.20,36.77,10,20.00
-5.10,36.87,10,20.00
-5.00,36.98,10,20.00
-4.90,37.09,10,20.00
-4.80,37.20,10,20.00
-4.70,37.31,10,20.00
-4.60,37.41,10,20.00
-4.50,37.51,10,20.00
-4.40,37.61,10,20.00
-4.30,37.72,10,20.00
-4.20,37.81,10,20.00
-4.10,37.90,10,20.00
-4.00,37.99,10,20.00
-3.90,38.08,10,20.00
-3.80,38.17,10,20.00
-3.70,38.26,10,20.00
-3.60,38.35,10,20.00
-3.50,38.44,10,20.00
-3.40,38.52,10,20.00
-3.30,38.60,10,20.00
-3.20,38.68,10,20.00
-3.10,38.76,10,20.00
-3.00,38.83,10,20.00
-2.90,38.90,10,20.00
-2.80,38.97,10,20.00
-2.70,39.04,10,20.00
-2.60,39.10,10,20.00
-2.50,39.16,10,20.00
-2.40,39.22,10,20.00
-2.30,39.29,10,20.00
-2.20,39.35,10,20.00
-2.10,39.41,10,20.00
-2.00,39.47,10,20.00
-1.90,39.52,10,20.00
-1.80,39.57,10,20.00
-1.70,39.61,10,20.00
-1.60,39.65,10,20.00
-1.50,39.69,10,20.00
-1.40,39.72,10,20.00
-1.30,39.76,10,20.00
-1.20,39.79,10,20.00
-1.10,39.81,10,20.00
-1.00,39.84,10,20.00
-0.90,39.87,10,20.00
-0.80,39.90,10,20.00
-0.70,39.92,10,20.00
-0.60,39.94,10,20.00
-0.50,39.97,10,20.00
-0.40,39.99,10,20.00
-0.30,40.00,10,20.00
-0.20,40.02,10,20.00
-0.10,40.02,10,20.00
0.00,40.03,10,20.00
0.10,40.02,10,20.00
0.20,40.02,10,20.00
0.30,40.00,10,20.00
0.40,39.99,10,20.00
0.50,39.97,10,20.00
0.60,39.95,10,20.00
0.70,39.92,10,20.00
0.80,39.90,10,20.00
0.90,39.87,10,20.00
1.00,39.85,10,20.00
1.10,39.81,10,20.00
1.20,39.78,10,20.00
1.30,39.75,10,20.00
1.40,39.72,10,20.00
1.50,39.69,10,20.00
1.60,39.65,10,20.00
1.70,39.61,10,20.00
1.80,39.57,10,20.00
1.90,39.52,10,20.00
2.00,39.48,10,20.00
2.10,39.42,10,20.00
2.20,39.35,10,20.00
2.30,39.29,10,20.00
2.40,39.23,10,20.00
2.50,39.16,10,20.00
2.60,39.10,10,20.00
2.70,39.03,10,20.00
2.80,38.96,10,20.00
2.90,38.89,10,20.00
3.00,38.82,10,20.00
3.10,38.75,10,20.00
3.20,38.68,10,20.00
3.30,38.60,10,20.00
3.40,38.53,10,20.00
3.50,38.46,10,20.00
3.60,38.37,10,20.00
3.70,38.28,10,20.00
3.80,38.18,10,20.00
3.90,38.09,10,20.00
4.00,38.00,10,20.00
4.10,37.90,10,20.00
4.20,37.79,10,20.00
4.30,37.70,10,20.00
4.40,37.60,10,20.00
4.50,37.50,10,20.00
4.60,37.40,10,20.00
4.70,37.30,10,20.00
4.80,37.20,10,20.00
4.90,37.10,10,20.00
5.00,37.01,10,20.00
5.10,36.89,10,20.00
5.20,36.78,10,20.00
5.30,36.67,10,20.00
5.40,36.56,10,20.00
5.50,36.44,10,20.00
5.60,36.32,10,20.00
5.70,36.20,10,20.00
5.80,36.09,10,20.00
5.90,35.98,10,20.00
6.00,35.87,10,20.00
6.10,35.75,10,20.00
6.20,35.63,10,20.00
6.30,35.52,10,20.00
6.40,35.41,10,20.00
6.50,35.31,10,20.00
6.60,35.18,10,20.00
6.70,35.05,10,20.00
6.80,34.92,10,20.00
6.90,34.80,10,20.00
7.00,34.68,10,20.00
7.10,34.55,10,20.00
7.20,34.42,10,20.00
7.30,34.29,10,20.00
7.40,34.17,10,20.00
7.50,34.05,10,20.00
7.60,33.92,10,20.00
7.70,33.79,10,20.00
7.80,33.66,10,20.00
7.90,33.53,10,20.00
8.00,33.41,10,20.00
8.10,33.26,10,20.00
8.20,33.11,10,20.00
8.30,32.96,10,20.00
8.40,32.81,10,20.00
8.50,32.66,10,20.00
8.60,32.51,10,20.00
8.70,32.35,10,20.00
8.80,32.20,10,20.00
8.90,32.05,10,20.00
9.00,31.91,10,20.00
9.10,31.75,10,20.00
9.20,31.59,10,20.00
9.30,31.44,10,20.00
9.40,31.30,10,20.00
9.50,31.17,10,20.00
9.60,31.00,10,20.00
9.70,30.84,10,20.00
9.80,30.68,10,20.00
9.90,30.53,10,20.00
10.00,30.37,10,20.00
10.10,30.21,10,20.00
10.20,30.04,10,20.00
10.30,29.89,10,20.00
10.40,29.74,10,20.00
10.50,29.59,10,20.00
10.60,29.42,10,20.00
10.70,29.26,10,20.00
10.80,29.09,10,20.00
10.90,28.93,10,20.00
11.00,28.77,10,20.00
11.10,28.58,10,20.00
11.20,28.39,10,20.00
11.30,28.08,10,20.00
11.40,27.64,10,20.00
11.50,27.19,10,20.00
11.60,25.77,10,20.00
11.70,24.36,10,20.00
11.80,22.37,10,20.00
11.90,19.83,10,20.00
12.00,17.28,10,20.00
12.10,14.30,10,20.00
12.20,11.32,10,20.00
12.30,9.20,10,20.00
12.40,7.92,10,20.00
12.50,6.65,10,20.00
12.60,6.43,10,20.00
12.70,6.20,10,20.00
12.80,6.01,10,20.00
12.90,5.85,10,20.00
13.00,5.68,10,20.00
13.10,5.59,10,20.00
13.20,5.49,10,20.00
13.30,5.40,10,20.00
13.40,5.31,10,20.00
13.50,5.22,10,20.00
13.60,5.12,10,20.00
13.70,5.03,10,20.00
13.80,4.95,10,20.00
13.90,4.88,10,20.00
14.00,4.80,10,20.00
14.10,4.72,10,20.00
14.20,4.63,10,20.00
14.30,4.54,10,20.00
14.40,4.45,10,20.00
14.50,4.36,10,20.00
14.60,4.28,10,20.00
14.70,4.19,10,20.00
14.80,4.10,10,20.00
14.90,4.01,10,20.00
15.00,3.92,10,20.00
