offset,dose,field_size,depth
-10.00,0.29,10,5.00
-9.90,0.30,10,5.00
-9.80,0.31,10,5.00
-9.70,0.32,10,5.00
-9.60,0.33,10,5.00
-9.50,0.34,10,5.00
-9.40,0.35,10,5.00
-9.30,0.36,10,5.00
-9.20,0.37,10,5.00
-9.10,0.38,10,5.00
-9.00,0.39,10,5.00
-8.90,0.40,10,5.00
-8.80,0.41,10,5.00
-8.70,0.42,10,5.00
-8.60,0.43,10,5.00
-8.50,0.44,10,5.00
-8.40,0.47,10,5.00
-8.30,0.49,10,5.00
-8.20,0.51,10,5.00
-8.10,0.53,10,5.00
-8.00,0.55,10,5.00
-7.90,0.57,10,5.00
-7.80,0.59,10,5.00
-7.70,0.60,10,5.00
-7.60,0.62,10,5.00
-7.50,0.64,10,5.00
-7.40,0.66,10,5.00
-7.30,0.68,10,5.00
-7.20,0.70,10,5.00
-7.10,0.72,10,5.00
-7.00,0.74,10,5.00
-6.90,0.76,10,5.00
-6.80,0.78,10,5.00
-6.70,0.80,10,5.00
-6.60,0.82,10,5.00
-6.50,0.84,10,5.00
-6.40,0.88,10,5.00
-6.30,0.92,10,5.00
-6.20,0.97,10,5.00
-6.10,1.01,10,5.00
-6.00,1.06,10,5.00
-5.90,1.11,10,5.00
-5.80,1.15,10,5.00
-5.70,1.20,10,5.00
-5.60,1.25,10,5.00
-5.50,1.30,10,5.00
-5.40,1.34,10,5.00
-5.30,1.39,10,5.00
-5.20,1.44,10,5.00
-5.10,1.49,10,5.00
-5.00,1.53,10,5.00
-4.90,1.58,10,5.00
-4.80,1.63,10,5.00
-4.70,1.68,10,5.00
-4.60,1.72,10,5.00
-4.50,1.77,10,5.00
-4.40,1.90,10,5.00
-4.30,2.02,10,5.00
-4.20,2.15,10,5.00
-4.10,2.29,10,5.00
-4.00,2.43,10,5.00
-3.90,2.56,10,5.00
-3.80,2.70,10,5.00
-3.70,2.84,10,5.00
-3.60,2.98,10,5.00
-3.50,3.11,10,5.00
-3.40,3.85,10,5.00
-3.30,4.59,10,5.00
-3.20,5.65,10,5.00
-3.10,7.03,10,5.00
-3.00,8.41,10,5.00
-2.90,15.12,10,5.00
-2.80,21.83,10,5.00
-2.70,31.75,10,5.00
-2.60,44.88,10,5.00
-2.50,58.01,10,5.00
-2.40,64.53,10,5.00
-2.30,71.04,10,5.00
-2.20,74.97,10,5.00
-2.10,76.31,10,5.00
-2.00,77.66,10,5.00
-1.90,78.33,10,5.00
-1.80,79.01,10,5.00
-1.70,79.41,10,5.00
-1.60,79.54,10,5.00
-1.50,79.67,10,5.00
-1.40,79.78,10,5.00
-1.30,79.90,10,5.00
-1.20,79.99,10,5.00
-1.10,80.07,10,5.00
-1.00,80.15,10,5.00
-0.90,80.20,10,5.00
-0.80,80.24,10,5.00
-0.70,80.28,10,5.00
-0.60,80.30,10,5.00
-0.50,80.31,10,5.00
-0.40,80.31,10,5.00
-0.30,80.30,10,5.00
-0.20,80.29,10,5.00
-0.10,80.28,10,5.00
0.00,80.26,10,5.00
0.10,80.28,10,5.00
0.20,80.29,10,5.00
0.30,80.30,10,5.00
0.40,80.30,10,5.00
0.50,80.30,10,5.00
0.60,80.29,10,5.00
0.70,80.27,10,5.00
0.80,80.24,10,5.00
0.90,80.19,10,5.00
1.00,80.14,10,5.00
1.10,80.05,10,5.00
1.20,79.97,10,5.00
1.30,79.88,10,5.00
1.40,79.79,10,5.00
1.50,79.70,10,5.00
1.60,79.43,10,5.00
1.70,79.16,10,5.00
1.80,78.81,10,5.00
1.90,78.39,10,5.00
2.00,77.97,10,5.00
2.10,76.44,10,5.00
2.20,74.91,10,5.00
2.30,70.89,10,5.00
2.40,64.38,10,5.00
2.50,57.86,10,5.00
2.60,44.84,10,5.00
2.70,31.81,10,5.00
2.80,21.95,10,5.00
2.90,15.25,10,5.00
3.00,8.56,10,5.00
3.10,6.97,10,5.00
3.20,5.38,10,5.00
3.30,4.36,10,5.00
3.40,3.91,10,5.00
3.50,3.47,10,5.00
3.60,3.16,10,5.00
3.70,2.85,10,5.00
3.80,2.64,10,5.00
3.90,2.52,10,5.00
4.00,2.41,10,5.00
4.10,2.29,10,5.00
4.20,2.18,10,5.00
4.30,2.06,10,5.00
4.40,1.94,10,5.00
4.50,1.83,10,5.00
4.60,1.75,10,5.00
4.70,1.67,10,5.00
4.80,1.61,10,5.00
4.90,1.55,10,5.00
5.00,1.49,10,5.00
5.10,1.43,10,5.00
5.20,1.38,10,5.00
5.30,1.32,10,5.00
5.40,1.26,10,5.00
5.50,1.21,10,5.00
5.60,1.16,10,5.00
5.70,1.12,10,5.00
5.80,1.08,10,5.00
5.90,1.05,10,5.00
6.00,1.02,10,5.00
6.10,0.99,10,5.00
6.20,0.97,10,5.00
6.30,0.94,10,5.00
6.40,0.91,10,5.00
6.50,0.88,10,5.00
6.60,0.85,10,5.00
6.70,0.82,10,5.00
6.80,0.80,10,5.00
6.90,0.77,10,5.00
7.00,0.74,10,5.00
7.10,0.71,10,5.00
7.20,0.68,10,5.00
7.30,0.65,10,5.00
7.40,0.63,10,5.00
7.50,0.60,10,5.00
7.60,0.58,10,5.00
7.70,0.57,10,5.00
7.80,0.55,10,5.00
7.90,0.54,10,5.00
8.00,0.53,10,5.00
8.10,0.51,10,5.00
8.20,0.50,10,5.00
8.30,0.49,10,5.00
8.40,0.47,10,5.00
8.50,0.46,10,5.00
8.60,0.45,10,5.00
8.70,0.44,10,5.00
8.80,0.42,10,5.00
8.90,0.41,10,5.00
9.00,0.39,10,5.00
9.10,0.38,10,5.00
9.20,0.37,10,5.00
9.30,0.36,10,5.00
9.40,0.34,10,5.00
9.50,0.33,10,5.00
9.60,0.32,10,5.00
9.70,0.31,10,5.00
9.80,0.30,10,5.00
9.90,0.30,10,5.00
10.00,0.29,10,5.00
