offset,dose,field_size,depth
-15.00,0.47,10,1.25
-14.90,0.48,10,1.25
-14.80,0.49,10,1.25
-14.70,0.49,10,1.25
-14.60,0.50,10,1.25
-14.50,0.51,10,1.25
-14.40,0.52,10,1.25
-14.30,0.53,10,1.25
-14.20,0.53,10,1.25
-14.10,0.54,10,1.25
-14.00,0.55,10,1.25
-13.90,0.56,10,1.25
-13.80,0.57,10,1.25
-13.70,0.58,10,1.25
-13.60,0.58,10,1.25
-13.50,0.59,10,1.25
-13.40,0.60,10,1.25
-13.30,0.61,10,1.25
-13.20,0.62,10,1.25
-13.10,0.63,10,1.25
-13.00,0.64,10,1.25
-12.90,0.65,10,1.25
-12.80,0.66,10,1.25
-12.70,0.67,10,1.25
-12.60,0.68,10,1.25
-12.50,0.69,10,1.25
-12.40,0.71,10,1.25
-12.30,0.72,10,1.25
-12.20,0.73,10,1.25
-12.10,0.74,10,1.25
-12.00,0.76,10,1.25
-11.90,0.77,10,1.25
-11.80,0.78,10,1.25
-11.70,0.79,10,1.25
-11.60,0.80,10,1.25
-11.50,0.81,10,1.25
-11.40,0.83,10,1.25
-11.30,0.84,10,1.25
-11.20,0.85,10,1.25
-11.10,0.87,10,1.25
-11.00,0.88,10,1.25
-10.90,0.90,10,1.25
-10.80,0.92,10,1.25
-10.70,0.94,10,1.25
-10.60,0.95,10,1.25
-10.50,0.97,10,1.25
-10.40,0.99,10,1.25
-10.30,1.01,10,1.25
-10.20,1.03,10,1.25
-10.10,1.05,10,1.25
-10.00,1.06,10,1.25
-9.90,1.08,10,1.25
-9.80,1.10,10,1.25
-9.70,1.12,10,1.25
-9.60,1.13,10,1.25
-9.50,1.15,10,1.25
-9.40,1.17,10,1.25
-9.30,1.19,10,1.25
-9.20,1.21,10,1.25
-9.10,1.23,10,1.25
-9.00,1.26,10,1.25
-8.90,1.29,10,1.25
-8.80,1.32,10,1.25
-8.70,1.35,10,1.25
-8.60,1.38,10,1.25
-8.50,1.42,10,1.25
-8.40,1.45,10,1.25
-8.30,1.48,10,1.25
-8.20,1.51,10,1.25
-8.10,1.55,10,1.25
-8.00,1.58,10,1.25
-7.90,1.61,10,1.25
-7.80,1.64,10,1.25
-7.70,1.67,10,1.25
-7.60,1.71,10,1.25
-7.50,1.74,10,1.25
-7.40,1.77,10,1.25
-7.30,1.80,10,1.25
-7.20,1.79,10,1.25
-7.10,1.73,10,1.25
-7.00,1.68,10,1.25
-6.90,1.76,10,1.25
-6.80,1.85,10,1.25
-6.70,1.93,10,1.25
-6.60,2.01,10,1.25
-6.50,2.10,10,1.25
-6.40,2.18,10,1.25
-6.30,2.27,10,1.25
-6.20,2.40,10,1.25
-6.10,2.57,10,1.25
-6.00,2.74,10,1.25
-5.90,3.02,10,1.25
-5.80,3.29,10,1.25
-5.70,3.85,10,1.25
-5.60,4.70,10,1.25
-5.50,5.55,10,1.25
-5.40,10.88,10,1.25
-5.30,16.21,10,1.25
-5.20,26.34,10,1.25
-5.10,41.28,10,1.25
-5.00,56.22,10,1.25
-4.90,67.11,10,1.25
-4.80,78.00,10,1.25
-4.70,84.63,10,1.25
-4.60,87.00,10,1.25
-4.50,89.37,10,1.25
-4.40,90.11,10,1.25
-4.30,90.85,10,1.25
-4.20,91.45,10,1.25
-4.10,91.92,10,1.25
-4.00,92.39,10,1.25
-3.90,92.75,10,1.25
-3.80,93.11,10,1.25
-3.70,93.42,10,1.25
-3.60,93.70,10,1.25
-3.50,93.97,10,1.25
-3.40,94.31,10,1.25
-3.30,94.64,10,1.25
-3.20,94.94,10,1.25
-3.10,95.20,10,1.25
-3.00,95.46,10,1.25
-2.90,95.73,10,1.25
-2.80,95.99,10,1.25
-2.70,96.24,10,1.25
-2.60,96.47,10,1.25
-2.50,96.71,10,1.25
-2.40,96.92,10,1.25
-2.30,97.13,10,1.25
-2.20,97.35,10,1.25
-2.10,97.57,10,1.25
-2.00,97.79,10,1.25
-1.90,97.98,10,1.25
-1.80,98.18,10,1.25
-1.70,98.37,10,1.25
-1.60,98.54,10,1.25
-1.50,98.72,10,1.25
-1.40,98.83,10,1.25
-1.30,98.95,10,1.25
-1.20,99.05,10,1.25
-1.10,99.15,10,1.25
-1.00,99.25,10,1.25
-0.90,99.34,10,1.25
-0.80,99.42,10,1.25
-0.70,99.50,10,1.25
-0.60,99.59,10,1.25
-0.50,99.67,10,1.25
-0.40,99.74,10,1.25
