offset,dose,field_size,depth
-15.00,4.73,10,10.00
-14.90,4.85,10,10.00
-14.80,4.98,10,10.00
-14.70,5.10,10,10.00
-14.60,5.22,10,10.00
-14.50,5.35,10,10.00
-14.40,5.47,10,10.00
-14.30,5.60,10,10.00
-14.20,5.72,10,10.00
-14.10,5.85,10,10.00
-14.00,5.97,10,10.00
-13.90,6.09,10,10.00
-13.80,6.22,10,10.00
-13.70,6.34,10,10.00
-13.60,6.47,10,10.00
-13.50,6.59,10,10.00
-13.40,6.72,10,10.00
-13.30,6.84,10,10.00
-13.20,7.00,10,10.00
-13.10,7.18,10,10.00
-13.00,7.37,10,10.00
-12.90,7.59,10,10.00
-12.80,7.81,10,10.00
-12.70,8.03,10,10.00
-12.60,8.26,10,10.00
-12.50,8.48,10,10.00
-12.40,8.70,10,10.00
-12.30,8.92,10,10.00
-12.20,9.13,10,10.00
-12.10,9.34,10,10.00
-12.00,9.55,10,10.00
-11.90,9.75,10,10.00
-11.80,9.94,10,10.00
-11.70,10.56,10,10.00
-11.60,11.63,10,10.00
-11.50,12.69,10,10.00
-11.40,15.81,10,10.00
-11.30,18.93,10,10.00
-11.20,24.19,10,10.00
-11.10,31.59,10,10.00
-11.00,38.98,10,10.00
-10.90,47.18,10,10.00
-10.80,55.37,10,10.00
-10.70,60.91,10,10.00
-10.60,63.80,10,10.00
-10.50,66.69,10,10.00
-10.40,67.26,10,10.00
-10.30,67.83,10,10.00
-10.20,68.34,10,10.00
-10.10,68.77,10,10.00
-10.00,69.21,10,10.00
-9.90,69.44,10,10.00
-9.80,69.68,10,10.00
-9.70,69.90,10,10.00
-9.60,70.10,10,10.00
-9.50,70.30,10,10.00
-9.40,70.51,10,10.00
-9.30,70.73,10,10.00
-9.20,70.92,10,10.00
-9.10,71.08,10,10.00
-9.00,71.24,10,10.00
-8.90,71.37,10,10.00
-8.80,71.51,10,10.00
-8.70,71.63,10,10.00
-8.60,71.75,10,10.00
-8.50,71.86,10,10.00
-8.40,71.98,10,10.00
-8.30,72.10,10,10.00
-8.20,72.20,10,10.00
-8.10,72.30,10,10.00
-8.00,72.39,10,10.00
-7.90,72.49,10,10.00
-7.80,72.59,10,10.00
-7.70,72.68,10,10.00
-7.60,72.78,10,10.00
-7.50,72.88,10,10.00
-7.40,72.97,10,10.00
-7.30,73.05,10,10.00
-7.20,73.15,10,10.00
-7.10,73.24,10,10.00
-7.00,73.34,10,10.00
-6.90,73.40,10,10.00
-6.80,73.47,10,10.00
-6.70,73.53,10,10.00
-6.60,73.59,10,10.00
-6.50,73.66,10,10.00
-6.40,73.69,10,10.00
-6.30,73.73,10,10.00
-6.20,73.77,10,10.00
-6.10,73.82,10,10.00
-6.00,73.88,10,10.00
-5.90,73.90,10,10.00
-5.80,73.92,10,10.00
-5.70,73.93,10,10.00
-5.60,73.93,10,10.00
-5.50,73.93,10,10.00
-5.40,73.94,10,10.00
-5.30,73.95,10,10.00
-5.20,73.97,10,10.00
-5.10,73.98,10,10.00
-5.00,73.99,10,10.00
-4.90,74.00,10,10.00
-4.80,74.01,10,10.00
-4.70,74.01,10,10.00
-4.60,74.01,10,10.00
-4.50,74.02,10,10.00
-4.40,74.02,10,10.00
-4.30,74.03,10,10.00
-4.20,74.03,10,10.00
-4.10,74.03,10,10.00
-4.00,74.02,10,10.00
-3.90,74.04,10,10.00
-3.80,74.05,10,10.00
-3.70,74.06,10,10.00
-3.60,74.07,10,10.00
-3.50,74.07,10,10.00
-3.40,74.07,10,10.00
-3.30,74.06,10,10.00
-3.20,74.05,10,10.00
-3.10,74.05,10,10.00
-3.00,74.05,10,10.00
-2.90,74.05,10,10.00
-2.80,74.06,10,10.00
-2.70,74.06,10,10.00
-2.60,74.05,10,10.00
-2.50,74.05,10,10.00
-2.40,74.04,10,10.00
-2.30,74.04,10,10.00
-2.20,74.04,10,10.00
-2.10,74.05,10,10.00
-2.00,74.05,10,10.00
-1.90,74.04,10,10.00
-1.80,74.03,10,10.00
-1.70,74.02,10,10.00
-1.60,74.02,10,10.00
-1.50,74.02,10,10.00
-1.40,74.01,10,10.00
-1.30,74.00,10,10.00
-1.20,73.99,10,10.00
-1.10,73.98,10,10.00
-1.00,73.98,10,10.00
-0.90,73.97,10,10.00
-0.80,73.95,10,10.00
-0.70,73.95,10,10.00
-0.60,73.94,10,10.00
-0.50,73.94,10,10.00
-0.40,73.93,10,10.00
-0.30,73.92,10,10.00
-0.20,73.91,10,10.00
-0.10,73.90,10,10.00
0.00,73.89,10,10.00
0.10,73.90,10,10.00
0.20,73.91,10,10.00
0.30,73.93,10,10.00
0.40,73.94,10,10.00
0.50,73.96,10,10.00
0.60,73.97,10,10.00
0.70,73.99,10,10.00
0.80,74.00,10,10.00
0.90,74.00,10,10.00
1.00,74.01,10,10.00
1.10,74.01,10,10.00
1.20,74.02,10,10.00
1.30,74.02,10,10.00
1.40,74.03,10,10.00
1.50,74.05,10,10.00
1.60,74.05,10,10.00
1.70,74.05,10,10.00
1.80,74.05,10,10.00
1.90,74.06,10,10.00
2.00,74.06,10,10.00
2.10,74.07,10,10.00
2.20,74.08,10,10.00
2.30,74.09,10,10.00
2.40,74.10,10,10.00
2.50,74.10,10,10.00
2.60,74.11,10,10.00
2.70,74.12,10,10.00
2.80,74.13,10,10.00
2.90,74.13,10,10.00
3.00,74.14,10,10.00
3.10,74.14,10,10.00
3.20,74.14,10,10.00
3.30,74.14,10,10.00
3.40,74.13,10,10.00
3.50,74.12,10,10.00
3.60,74.13,10,10.00
3.70,74.13,10,10.00
3.80,74.13,10,10.00
3.90,74.13,10,10.00
4.00,74.12,10,10.00
4.10,74.12,10,10.00
4.20,74.12,10,10.00
4.30,74.13,10,10.00
4.40,74.13,10,10.00
4.50,74.13,10,10.00
