offset,dose,field_size,depth
-15.00,0.57,10,1.25
-14.90,0.59,10,1.25
-14.80,0.60,10,1.25
-14.70,0.61,10,1.25
-14.60,0.62,10,1.25
-14.50,0.64,10,1.25
-14.40,0.65,10,1.25
-14.30,0.66,10,1.25
-14.20,0.67,10,1.25
-14.10,0.68,10,1.25
-14.00,0.69,10,1.25
-13.90,0.71,10,1.25
-13.80,0.72,10,1.25
-13.70,0.73,10,1.25
-13.60,0.74,10,1.25
-13.50,0.75,10,1.25
-13.40,0.77,10,1.25
-13.30,0.78,10,1.25
-13.20,0.79,10,1.25
-13.10,0.81,10,1.25
-13.00,0.82,10,1.25
-12.90,0.84,10,1.25
-12.80,0.86,10,1.25
-12.70,0.88,10,1.25
-12.60,0.90,10,1.25
-12.50,0.93,10,1.25
-12.40,0.95,10,1.25
-12.30,0.96,10,1.25
-12.20,0.99,10,1.25
-12.10,1.01,10,1.25
-12.00,1.03,10,1.25
-11.90,1.05,10,1.25
-11.80,1.07,10,1.25
-11.70,1.09,10,1.25
-11.60,1.11,10,1.25
-11.50,1.13,10,1.25
-11.40,1.15,10,1.25
-11.30,1.17,10,1.25
-11.20,1.20,10,1.25
-11.10,1.23,10,1.25
-11.00,1.27,10,1.25
-10.90,1.30,10,1.25
-10.80,1.34,10,1.25
-10.70,1.38,10,1.25
-10.60,1.42,10,1.25
-10.50,1.45,10,1.25
-10.40,1.49,10,1.25
-10.30,1.53,10,1.25
-10.20,1.57,10,1.25
-10.10,1.60,10,1.25
-10.00,1.64,10,1.25
-9.90,1.68,10,1.25
-9.80,1.72,10,1.25
-9.70,1.75,10,1.25
-9.60,1.79,10,1.25
-9.50,1.83,10,1.25
-9.40,1.86,10,1.25
-9.30,1.90,10,1.25
-9.20,1.95,10,1.25
-9.10,2.00,10,1.25
-9.00,2.05,10,1.25
-8.90,2.11,10,1.25
-8.80,2.17,10,1.25
-8.70,2.23,10,1.25
-8.60,2.29,10,1.25
-8.50,2.35,10,1.25
-8.40,2.41,10,1.25
-8.30,2.47,10,1.25
-8.20,2.53,10,1.25
-8.10,2.59,10,1.25
-8.00,2.64,10,1.25
-7.90,2.70,10,1.25
-7.80,2.76,10,1.25
-7.70,2.82,10,1.25
-7.60,2.88,10,1.25
-7.50,2.94,10,1.25
-7.40,3.00,10,1.25
-7.30,3.06,10,1.25
-7.20,3.09,10,1.25
-7.10,3.11,10,1.25
-7.00,3.12,10,1.25
-6.90,3.25,10,1.25
-6.80,3.37,10,1.25
-6.70,3.50,10,1.25
-6.60,3.62,10,1.25
-6.50,3.75,10,1.25
-6.40,3.87,10,1.25
-6.30,3.99,10,1.25
-6.20,4.15,10,1.25
-6.10,4.35,10,1.25
-6.00,4.54,10,1.25
-5.90,4.82,10,1.25
-5.80,5.10,10,1.25
