offset,dose,field_size,depth
-5.00,0.17,10,5.00
-4.90,0.17,10,5.00
-4.80,0.18,10,5.00
-4.70,0.19,10,5.00
-4.60,0.19,10,5.00
-4.50,0.20,10,5.00
-4.40,0.21,10,5.00
-4.30,0.22,10,5.00
-4.20,0.23,10,5.00
-4.10,0.25,10,5.00
-4.00,0.27,10,5.00
-3.90,0.28,10,5.00
-3.80,0.30,10,5.00
-3.70,0.32,10,5.00
-3.60,0.33,10,5.00
-3.50,0.35,10,5.00
-3.40,0.37,10,5.00
-3.30,0.38,10,5.00
-3.20,0.41,10,5.00
-3.10,0.44,10,5.00
-3.00,0.48,10,5.00
-2.90,0.52,10,5.00
-2.80,0.57,10,5.00
-2.70,0.62,10,5.00
-2.60,0.66,10,5.00
-2.50,0.71,10,5.00
-2.40,0.76,10,5.00
-2.30,0.80,10,5.00
-2.20,0.92,10,5.00
-2.10,1.11,10,5.00
-2.00,1.30,10,5.00
-1.90,1.58,10,5.00
-1.80,1.86,10,5.00
-1.70,2.44,10,5.00
-1.60,3.32,10,5.00
-1.50,4.19,10,5.00
-1.40,8.54,10,5.00
-1.30,12.89,10,5.00
-1.20,20.86,10,5.00
-1.10,32.46,10,5.00
-1.00,44.06,10,5.00
-0.90,53.18,10,5.00
-0.80,62.31,10,5.00
-0.70,67.96,10,5.00
-0.60,70.13,10,5.00
-0.50,72.29,10,5.00
-0.40,72.69,10,5.00
-0.30,73.08,10,5.00
-0.20,73.36,10,5.00
-0.10,73.53,10,5.00
0.00,73.70,10,5.00
0.10,73.70,10,5.00
0.20,73.70,10,5.00
0.30,73.33,10,5.00
0.40,72.60,10,5.00
0.50,71.87,10,5.00
0.60,69.84,10,5.00
0.70,67.81,10,5.00
0.80,62.28,10,5.00
0.90,53.27,10,5.00
1.00,44.25,10,5.00
1.10,32.57,10,5.00
1.20,20.89,10,5.00
1.30,12.87,10,5.00
1.40,8.50,10,5.00
1.50,4.13,10,5.00
1.60,3.38,10,5.00
1.70,2.62,10,5.00
1.80,2.02,10,5.00
1.90,1.56,10,5.00
2.00,1.10,10,5.00
2.10,1.03,10,5.00
2.20,0.96,10,5.00
2.30,0.89,10,5.00
2.40,0.82,10,5.00
2.50,0.75,10,5.00
2.60,0.68,10,5.00
2.70,0.62,10,5.00
2.80,0.56,10,5.00
2.90,0.50,10,5.00
3.00,0.45,10,5.00
3.10,0.43,10,5.00
3.20,0.41,10,5.00
3.30,0.39,10,5.00
3.40,0.37,10,5.00
3.50,0.35,10,5.00
3.60,0.34,10,5.00
3.70,0.32,10,5.00
3.80,0.30,10,5.00
3.90,0.27,10,5.00
4.00,0.25,10,5.00
4.10,0.24,10,5.00
4.20,0.23,10,5.00
4.30,0.23,10,5.00
4.40,0.22,10,5.00
4.50,0.21,10,5.00
4.60,0.20,10,5.00
4.70,0.20,10,5.00
4.80,0.19,10,5.00
4.90,0.18,10,5.00
5.00,0.18,10,5.00
