offset,dose,field_size,depth
-5.00,0.25,10,10.00
-4.90,0.25,10,10.00
-4.80,0.26,10,10.00
-4.70,0.27,10,10.00
-4.60,0.28,10,10.00
-4.50,0.29,10,10.00
-4.40,0.29,10,10.00
-4.30,0.30,10,10.00
-4.20,0.32,10,10.00
-4.10,0.35,10,10.00
-4.00,0.37,10,10.00
-3.90,0.39,10,10.00
-3.80,0.41,10,10.00
-3.70,0.43,10,10.00
-3.60,0.45,10,10.00
-3.50,0.47,10,10.00
-3.40,0.49,10,10.00
-3.30,0.50,10,10.00
-3.20,0.53,10,10.00
-3.10,0.57,10,10.00
-3.00,0.60,10,10.00
-2.90,0.64,10,10.00
-2.80,0.69,10,10.00
-2.70,0.73,10,10.00
-2.60,0.77,10,10.00
-2.50,0.81,10,10.00
-2.40,0.86,10,10.00
-2.30,0.90,10,10.00
-2.20,1.01,10,10.00
-2.10,1.19,10,10.00
-2.00,1.37,10,10.00
-1.90,1.63,10,10.00
-1.80,1.90,10,10.00
-1.70,2.48,10,10.00
-1.60,3.39,10,10.00
-1.50,4.29,10,10.00
-1.40,8.40,10,10.00
-1.30,12.52,10,10.00
-1.20,18.99,10,10.00
-1.10,27.80,10,10.00
-1.00,36.61,10,10.00
-0.90,41.85,10,10.00
-0.80,47.10,10,10.00
-0.70,50.34,10,10.00
-0.60,51.57,10,10.00
-0.50,52.80,10,10.00
-0.40,53.07,10,10.00
-0.30,53.34,10,10.00
-0.20,53.53,10,10.00
-0.10,53.64,10,10.00
0.00,53.75,10,10.00
0.10,53.72,10,10.00
0.20,53.70,10,10.00
0.30,53.43,10,10.00
0.40,52.93,10,10.00
0.50,52.42,10,10.00
0.60,51.30,10,10.00
0.70,50.17,10,10.00
0.80,47.01,10,10.00
0.90,41.82,10,10.00
1.00,36.63,10,10.00
1.10,27.79,10,10.00
1.20,18.95,10,10.00
1.30,12.47,10,10.00
1.40,8.36,10,10.00
1.50,4.25,10,10.00
1.60,3.45,10,10.00
1.70,2.66,10,10.00
1.80,2.04,10,10.00
1.90,1.60,10,10.00
2.00,1.15,10,10.00
2.10,1.09,10,10.00
2.20,1.03,10,10.00
2.30,0.97,10,10.00
2.40,0.91,10,10.00
2.50,0.85,10,10.00
2.60,0.79,10,10.00
2.70,0.73,10,10.00
2.80,0.67,10,10.00
2.90,0.62,10,10.00
3.00,0.57,10,10.00
3.10,0.55,10,10.00
3.20,0.53,10,10.00
3.30,0.51,10,10.00
3.40,0.49,10,10.00
3.50,0.47,10,10.00
3.60,0.45,10,10.00
3.70,0.43,10,10.00
3.80,0.40,10,10.00
3.90,0.37,10,10.00
4.00,0.34,10,10.00
4.10,0.33,10,10.00
4.20,0.32,10,10.00
4.30,0.31,10,10.00
4.40,0.30,10,10.00
4.50,0.29,10,10.00
4.60,0.29,10,10.00
4.70,0.28,10,10.00
4.80,0.27,10,10.00
4.90,0.26,10,10.00
5.00,0.25,10,10.00
