offset,dose,field_size,depth
-10.00,0.50,10,20.00
-9.90,0.52,10,20.00
-9.80,0.53,10,20.00
-9.70,0.54,10,20.00
-9.60,0.56,10,20.00
-9.50,0.57,10,20.00
-9.40,0.58,10,20.00
-9.30,0.59,10,20.00
-9.20,0.61,10,20.00
-9.10,0.62,10,20.00
-9.00,0.63,10,20.00
-8.90,0.65,10,20.00
-8.80,0.66,10,20.00
-8.70,0.67,10,20.00
-8.60,0.68,10,20.00
-8.50,0.70,10,20.00
-8.40,0.72,10,20.00
-8.30,0.74,10,20.00
-8.20,0.76,10,20.00
-8.10,0.78,10,20.00
-8.00,0.81,10,20.00
-7.90,0.83,10,20.00
-7.80,0.85,10,20.00
-7.70,0.88,10,20.00
-7.60,0.90,10,20.00
-7.50,0.92,10,20.00
-7.40,0.95,10,20.00
-7.30,0.97,10,20.00
-7.20,1.00,10,20.00
-7.10,1.02,10,20.00
-7.00,1.04,10,20.00
-6.90,1.06,10,20.00
-6.80,1.09,10,20.00
-6.70,1.11,10,20.00
-6.60,1.13,10,20.00
-6.50,1.16,10,20.00
-6.40,1.19,10,20.00
-6.30,1.22,10,20.00
-6.20,1.26,10,20.00
-6.10,1.29,10,20.00
-6.00,1.32,10,20.00
-5.90,1.35,10,20.00
-5.80,1.39,10,20.00
-5.70,1.42,10,20.00
-5.60,1.45,10,20.00
-5.50,1.49,10,20.00
-5.40,1.52,10,20.00
-5.30,1.55,10,20.00
-5.20,1.59,10,20.00
-5.10,1.64,10,20.00
-5.00,1.69,10,20.00
-4.90,1.73,10,20.00
-4.80,1.78,10,20.00
-4.70,1.83,10,20.00
-4.60,1.88,10,20.00
-4.50,1.93,10,20.00
-4.40,2.02,10,20.00
-4.30,2.11,10,20.00
-4.20,2.20,10,20.00
-4.10,2.31,10,20.00
-4.00,2.41,10,20.00
-3.90,2.62,10,20.00
-3.80,2.83,10,20.00
-3.70,3.09,10,20.00
-3.60,3.38,10,20.00
-3.50,3.68,10,20.00
-3.40,5.24,10,20.00
-3.30,6.80,10,20.00
-3.20,9.74,10,20.00
-3.10,14.04,10,20.00
-3.00,18.34,10,20.00
-2.90,21.70,10,20.00
-2.80,25.06,10,20.00
-2.70,27.48,10,20.00
-2.60,28.96,10,20.00
-2.50,30.44,10,20.00
-2.40,31.09,10,20.00
-2.30,31.73,10,20.00
-2.20,32.10,10,20.00
-2.10,32.21,10,20.00
-2.00,32.31,10,20.00
-1.90,32.41,10,20.00
-1.80,32.51,10,20.00
-1.70,32.58,10,20.00
-1.60,32.64,10,20.00
-1.50,32.70,10,20.00
-1.40,32.76,10,20.00
-1.30,32.81,10,20.00
-1.20,32.86,10,20.00
-1.10,32.90,10,20.00
-1.00,32.95,10,20.00
-0.90,32.98,10,20.00
-0.80,33.02,10,20.00
-0.70,33.05,10,20.00
-0.60,33.07,10,20.00
-0.50,33.10,10,20.00
-0.40,33.11,10,20.00
-0.30,33.12,10,20.00
-0.20,33.12,10,20.00
-0.10,33.12,10,20.00
0.00,33.11,10,20.00
0.10,33.11,10,20.00
0.20,33.11,10,20.00
0.30,33.11,10,20.00
0.40,33.10,10,20.00
0.50,33.10,10,20.00
0.60,33.07,10,20.00
0.70,33.04,10,20.00
0.80,33.01,10,20.00
0.90,32.98,10,20.00
1.00,32.95,10,20.00
1.10,32.91,10,20.00
1.20,32.86,10,20.00
1.30,32.81,10,20.00
1.40,32.76,10,20.00
1.50,32.72,10,20.00
1.60,32.66,10,20.00
1.70,32.60,10,20.00
1.80,32.53,10,20.00
1.90,32.44,10,20.00
2.00,32.36,10,20.00
2.10,32.17,10,20.00
2.20,31.98,10,20.00
2.30,31.74,10,20.00
2.40,31.46,10,20.00
2.50,31.18,10,20.00
2.60,29.58,10,20.00
2.70,27.98,10,20.00
2.80,25.05,10,20.00
2.90,20.80,10,20.00
3.00,16.55,10,20.00
3.10,13.16,10,20.00
3.20,9.77,10,20.00
3.30,7.30,10,20.00
3.40,5.74,10,20.00
3.50,4.18,10,20.00
3.60,3.59,10,20.00
3.70,2.99,10,20.00
3.80,2.63,10,20.00
3.90,2.52,10,20.00
4.00,2.41,10,20.00
4.10,2.31,10,20.00
4.20,2.21,10,20.00
4.30,2.12,10,20.00
4.40,2.04,10,20.00
4.50,1.96,10,20.00
4.60,1.89,10,20.00
4.70,1.82,10,20.00
4.80,1.77,10,20.00
4.90,1.72,10,20.00
5.00,1.68,10,20.00
5.10,1.64,10,20.00
5.20,1.60,10,20.00
5.30,1.55,10,20.00
5.40,1.51,10,20.00
5.50,1.47,10,20.00
5.60,1.44,10,20.00
5.70,1.40,10,20.00
5.80,1.37,10,20.00
5.90,1.35,10,20.00
6.00,1.32,10,20.00
6.10,1.29,10,20.00
6.20,1.26,10,20.00
6.30,1.23,10,20.00
6.40,1.21,10,20.00
6.50,1.18,10,20.00
6.60,1.15,10,20.00
6.70,1.12,10,20.00
6.80,1.09,10,20.00
6.90,1.07,10,20.00
7.00,1.04,10,20.00
7.10,1.01,10,20.00
7.20,0.98,10,20.00
7.30,0.96,10,20.00
7.40,0.93,10,20.00
7.50,0.90,10,20.00
7.60,0.88,10,20.00
7.70,0.86,10,20.00
7.80,0.84,10,20.00
7.90,0.82,10,20.00
8.00,0.80,10,20.00
8.10,0.79,10,20.00
8.20,0.77,10,20.00
8.30,0.75,10,20.00
8.40,0.74,10,20.00
8.50,0.72,10,20.00
8.60,0.71,10,20.00
8.70,0.69,10,20.00
8.80,0.68,10,20.00
8.90,0.66,10,20.00
9.00,0.64,10,20.00
9.10,0.63,10,20.00
9.20,0.61,10,20.00
9.30,0.60,10,20.00
9.40,0.58,10,20.00
9.50,0.56,10,20.00
9.60,0.55,10,20.00
9.70,0.54,10,20.00
9.80,0.52,10,20.00
9.90,0.51,10,20.00
10.00,0.50,10,20.00
