offset,dose,field_size,depth
-30.00,0.00,10,10.00
-29.90,0.00,10,10.00
-29.80,0.00,10,10.00
-29.70,0.00,10,10.00
-29.60,0.00,10,10.00
-29.50,0.00,10,10.00
-29.40,0.00,10,10.00
-29.30,0.00,10,10.00
-29.20,0.00,10,10.00
-29.10,0.00,10,10.00
-29.00,0.00,10,10.00
-28.90,0.00,10,10.00
-28.80,0.00,10,10.00
-28.70,0.00,10,10.00
-28.60,0.00,10,10.00
-28.50,0.00,10,10.00
-28.40,0.00,10,10.00
-28.30,0.00,10,10.00
-28.20,0.00,10,10.00
-28.10,0.00,10,10.00
-28.00,0.00,10,10.00
-27.90,0.00,10,10.00
-27.80,0.00,10,10.00
-27.70,0.00,10,10.00
-27.60,0.00,10,10.00
-27.50,0.00,10,10.00
-27.40,0.00,10,10.00
-27.30,0.00,10,10.00
-27.20,0.00,10,10.00
-27.10,0.00,10,10.00
-27.00,0.00,10,10.00
-26.90,0.00,10,10.00
-26.80,0.00,10,10.00
-26.70,0.00,10,10.00
-26.60,0.00,10,10.00
-26.50,0.00,10,10.00
-26.40,0.00,10,10.00
-26.30,0.00,10,10.00
-26.20,0.00,10,10.00
-26.10,0.00,10,10.00
-26.00,0.00,10,10.00
-25.90,0.00,10,10.00
-25.80,0.00,10,10.00
-25.70,0.00,10,10.00
-25.60,0.00,10,10.00
-25.50,0.00,10,10.00
-25.40,0.00,10,10.00
-25.30,0.00,10,10.00
-25.20,0.00,10,10.00
-25.10,0.00,10,10.00
-25.00,1.86,10,10.00
-24.90,2.55,10,10.00
-24.80,3.24,10,10.00
-24.70,3.63,10,10.00
-24.60,3.72,10,10.00
-24.50,3.81,10,10.00
-24.40,3.91,10,10.00
-24.30,4.00,10,10.00
-24.20,4.11,10,10.00
-24.10,4.23,10,10.00
-24.00,4.35,10,10.00
-23.90,4.48,10,10.00
-23.80,4.61,10,10.00
-23.70,4.75,10,10.00
-23.60,4.88,10,10.00
-23.50,5.02,10,10.00
-23.40,5.15,10,10.00
-23.30,5.28,10,10.00
-23.20,5.44,10,10.00
-23.10,5.63,10,10.00
-23.00,5.81,10,10.00
-22.90,5.98,10,10.00
-22.80,6.14,10,10.00
-22.70,6.53,10,10.00
-22.60,7.14,10,10.00
-22.50,7.75,10,10.00
-22.40,8.99,10,10.00
-22.30,10.23,10,10.00
-22.20,12.76,10,10.00
-22.10,16.58,10,10.00
-22.00,20.39,10,10.00
-21.90,25.04,10,10.00
-21.80,29.68,10,10.00
-21.70,32.62,10,10.00
-21.60,33.86,10,10.00
-21.50,35.10,10,10.00
-21.40,35.66,10,10.00
-21.30,36.22,10,10.00
-21.20,36.66,10,10.00
-21.10,36.96,10,10.00
-21.00,37.27,10,10.00
-20.90,37.53,10,10.00
-20.80,37.80,10,10.00
-20.70,38.04,10,10.00
-20.60,38.25,10,10.00
-20.50,38.47,10,10.00
-20.40,38.70,10,10.00
-20.30,38.92,10,10.00
-20.20,39.14,10,10.00
-20.10,39.34,10,10.00
-20.00,39.54,10,10.00
-19.90,39.76,10,10.00
-19.80,39.98,10,10.00
-19.70,40.19,10,10.00
-19.60,40.40,10,10.00
-19.50,40.60,10,10.00
-19.40,40.81,10,10.00
-19.30,41.03,10,10.00
-19.20,41.24,10,10.00
-19.10,41.44,10,10.00
-19.00,41.64,10,10.00
-18.90,41.84,10,10.00
-18.80,42.05,10,10.00
-18.70,42.24,10,10.00
-18.60,42.41,10,10.00
-18.50,42.59,10,10.00
-18.40,42.78,10,10.00
-18.30,42.97,10,10.00
-18.20,43.16,10,10.00
-18.10,43.34,10,10.00
-18.00,43.52,10,10.00
-17.90,43.71,10,10.00
-17.80,43.89,10,10.00
-17.70,44.08,10,10.00
-17.60,44.26,10,10.00
-17.50,44.44,10,10.00
-17.40,44.63,10,10.00
-17.30,44.82,10,10.00
-17.20,45.00,10,10.00
-17.10,45.17,10,10.00
-17.00,45.35,10,10.00
-16.90,45.53,10,10.00
-16.80,45.71,10,10.00
-16.70,45.89,10,10.00
-16.60,46.07,10,10.00
-16.50,46.25,10,10.00
-16.40,46.44,10,10.00
-16.30,46.62,10,10.00
-16.20,46.80,10,10.00
-16.10,46.97,10,10.00
-16.00,47.13,10,10.00
-15.90,47.32,10,10.00
-15.80,47.50,10,10.00
-15.70,47.68,10,10.00
-15.60,47.84,10,10.00
-15.50,48.01,10,10.00
-15.40,48.19,10,10.00
-15.30,48.37,10,10.00
-15.20,48.55,10,10.00
-15.10,48.73,10,10.00
-15.00,48.91,10,10.00
-14.90,49.09,10,10.00
-14.80,49.28,10,10.00
-14.70,49.46,10,10.00
-14.60,49.62,10,10.00
-14.50,49.79,10,10.00
-14.40,49.97,10,10.00
-14.30,50.16,10,10.00
-14.20,50.34,10,10.00
-14.10,50.52,10,10.00
-14.00,50.69,10,10.00
-13.90,50.87,10,10.00
-13.80,51.05,10,10.00
-13.70,51.23,10,10.00
-13.60,51.40,10,10.00
-13.50,51.57,10,10.00
-13.40,51.75,10,10.00
-13.30,51.94,10,10.00
-13.20,52.11,10,10.00
-13.10,52.27,10,10.00
-13.00,52.43,10,10.00
-12.90,52.61,10,10.00
-12.80,52.79,10,10.00
-12.70,52.97,10,10.00
-12.60,53.15,10,10.00
-12.50,53.33,10,10.00
-12.40,53.51,10,10.00
-12.30,53.69,10,10.00
-12.20,53.87,10,10.00
-12.10,54.04,10,10.00
-12.00,54.22,10,10.00
-11.90,54.41,10,10.00
-11.80,54.60,10,10.00
-11.70,54.77,10,10.00
-11.60,54.94,10,10.00
-11.50,55.11,10,10.00
-11.40,55.29,10,10.00
-11.30,55.47,10,10.00
-11.20,55.65,10,10.00
-11.10,55.84,10,10.00
-11.00,56.02,10,10.00
-10.90,56.20,10,10.00
-10.80,56.38,10,10.00
-10.70,56.55,10,10.00
-10.60,56.72,10,10.00
-10.50,56.89,10,10.00
-10.40,57.09,10,10.00
-10.30,57.28,10,10.00
-10.20,57.47,10,10.00
-10.10,57.65,10,10.00
-10.00,57.82,10,10.00
-9.90,58.01,10,10.00
-9.80,58.21,10,10.00
-9.70,58.40,10,10.00
-9.60,58.59,10,10.00
-9.50,58.78,10,10.00
-9.40,58.98,10,10.00
-9.30,59.17,10,10.00
-9.20,59.35,10,10.00
-9.10,59.51,10,10.00
-9.00,59.68,10,10.00
-8.90,59.88,10,10.00
-8.80,60.07,10,10.00
-8.70,60.26,10,10.00
-8.60,60.44,10,10.00
-8.50,60.62,10,10.00
-8.40,60.81,10,10.00
-8.30,61.00,10,10.00
-8.20,61.19,10,10.00
-8.10,61.37,10,10.00
-8.00,61.55,10,10.00
-7.90,61.75,10,10.00
-7.80,61.95,10,10.00
-7.70,62.13,10,10.00
-7.60,62.30,10,10.00
-7.50,62.47,10,10.00
-7.40,62.66,10,10.00
-7.30,62.86,10,10.00
-7.20,63.05,10,10.00
-7.10,63.25,10,10.00
-7.00,63.44,10,10.00
-6.90,63.63,10,10.00
-6.80,63.83,10,10.00
-6.70,64.01,10,10.00
-6.60,64.20,10,10.00
-6.50,64.39,10,10.00
-6.40,64.59,10,10.00
-6.30,64.79,10,10.00
-6.20,64.97,10,10.00
-6.10,65.13,10,10.00
-6.00,65.29,10,10.00
-5.90,65.48,10,10.00
-5.80,65.66,10,10.00
-5.70,65.85,10,10.00
-5.60,66.04,10,10.00
-5.50,66.23,10,10.00
-5.40,66.40,10,10.00
-5.30,66.58,10,10.00
-5.20,66.74,10,10.00
-5.10,66.90,10,10.00
-5.00,67.06,10,10.00
-4.90,67.25,10,10.00
-4.80,67.44,10,10.00
-4.70,67.61,10,10.00
-4.60,67.76,10,10.00
-4.50,67.92,10,10.00
-4.40,68.08,10,10.00
-4.30,68.25,10,10.00
-4.20,68.42,10,10.00
-4.10,68.58,10,10.00
-4.00,68.75,10,10.00
-3.90,68.91,10,10.00
-3.80,69.06,10,10.00
-3.70,69.21,10,10.00
-3.60,69.34,10,10.00
-3.50,69.48,10,10.00
-3.40,69.64,10,10.00
-3.30,69.80,10,10.00
-3.20,69.94,10,10.00
-3.10,70.07,10,10.00
-3.00,70.20,10,10.00
-2.90,70.32,10,10.00
-2.80,70.45,10,10.00
-2.70,70.58,10,10.00
