offset,dose,field_size,depth
-5.00,0.22,10,20.00
-4.90,0.22,10,20.00
-4.80,0.23,10,20.00
-4.70,0.24,10,20.00
-4.60,0.24,10,20.00
-4.50,0.25,10,20.00
-4.40,0.26,10,20.00
-4.30,0.26,10,20.00
-4.20,0.27,10,20.00
-4.10,0.28,10,20.00
-4.00,0.29,10,20.00
-3.90,0.30,10,20.00
-3.80,0.31,10,20.00
-3.70,0.32,10,20.00
-3.60,0.33,10,20.00
-3.50,0.34,10,20.00
-3.40,0.35,10,20.00
-3.30,0.36,10,20.00
-3.20,0.37,10,20.00
-3.10,0.39,10,20.00
-3.00,0.41,10,20.00
-2.90,0.44,10,20.00
-2.80,0.48,10,20.00
-2.70,0.51,10,20.00
-2.60,0.54,10,20.00
-2.50,0.57,10,20.00
-2.40,0.60,10,20.00
-2.30,0.63,10,20.00
-2.20,0.73,10,20.00
-2.10,0.88,10,20.00
-2.00,1.03,10,20.00
-1.90,1.28,10,20.00
-1.80,1.52,10,20.00
-1.70,2.16,10,20.00
-1.60,3.20,10,20.00
-1.50,4.23,10,20.00
-1.40,7.75,10,20.00
-1.30,11.28,10,20.00
-1.20,15.01,10,20.00
-1.10,18.94,10,20.00
-1.00,22.88,10,20.00
-0.90,24.71,10,20.00
-0.80,26.54,10,20.00
-0.70,27.75,10,20.00
-0.60,28.35,10,20.00
-0.50,28.95,10,20.00
-0.40,28.99,10,20.00
-0.30,29.04,10,20.00
-0.20,29.08,10,20.00
-0.10,29.11,10,20.00
0.00,29.14,10,20.00
0.10,29.13,10,20.00
0.20,29.12,10,20.00
0.30,29.02,10,20.00
0.40,28.83,10,20.00
0.50,28.65,10,20.00
0.60,28.28,10,20.00
0.70,27.92,10,20.00
0.80,26.83,10,20.00
0.90,25.02,10,20.00
1.00,23.22,10,20.00
1.10,19.06,10,20.00
1.20,14.90,10,20.00
1.30,11.14,10,20.00
1.40,7.75,10,20.00
1.50,4.37,10,20.00
1.60,3.37,10,20.00
1.70,2.38,10,20.00
1.80,1.66,10,20.00
1.90,1.24,10,20.00
2.00,0.82,10,20.00
2.10,0.77,10,20.00
2.20,0.73,10,20.00
2.30,0.69,10,20.00
2.40,0.64,10,20.00
2.50,0.60,10,20.00
2.60,0.55,10,20.00
2.70,0.51,10,20.00
2.80,0.47,10,20.00
2.90,0.43,10,20.00
3.00,0.40,10,20.00
3.10,0.39,10,20.00
3.20,0.38,10,20.00
3.30,0.37,10,20.00
3.40,0.35,10,20.00
3.50,0.34,10,20.00
3.60,0.33,10,20.00
3.70,0.32,10,20.00
3.80,0.31,10,20.00
3.90,0.30,10,20.00
4.00,0.29,10,20.00
4.10,0.28,10,20.00
4.20,0.28,10,20.00
4.30,0.27,10,20.00
4.40,0.26,10,20.00
4.50,0.25,10,20.00
4.60,0.25,10,20.00
4.70,0.24,10,20.00
4.80,0.23,10,20.00
4.90,0.22,10,20.00
5.00,0.22,10,20.00
