offset,dose,field_size,depth
-15.00,0.82,10,20.00
-14.90,0.84,10,20.00
-14.80,0.85,10,20.00
-14.70,0.87,10,20.00
-14.60,0.89,10,20.00
-14.50,0.90,10,20.00
-14.40,0.92,10,20.00
-14.30,0.93,10,20.00
-14.20,0.95,10,20.00
-14.10,0.97,10,20.00
-14.00,0.99,10,20.00
-13.90,1.00,10,20.00
-13.80,1.02,10,20.00
-13.70,1.03,10,20.00
-13.60,1.05,10,20.00
-13.50,1.07,10,20.00
-13.40,1.08,10,20.00
-13.30,1.10,10,20.00
-13.20,1.11,10,20.00
-13.10,1.13,10,20.00
-13.00,1.15,10,20.00
-12.90,1.17,10,20.00
-12.80,1.20,10,20.00
-12.70,1.22,10,20.00
-12.60,1.25,10,20.00
-12.50,1.27,10,20.00
-12.40,1.30,10,20.00
-12.30,1.32,10,20.00
-12.20,1.35,10,20.00
-12.10,1.37,10,20.00
-12.00,1.40,10,20.00
-11.90,1.42,10,20.00
-11.80,1.45,10,20.00
-11.70,1.47,10,20.00
-11.60,1.50,10,20.00
-11.50,1.52,10,20.00
-11.40,1.55,10,20.00
-11.30,1.57,10,20.00
-11.20,1.60,10,20.00
-11.10,1.63,10,20.00
-11.00,1.66,10,20.00
-10.90,1.70,10,20.00
-10.80,1.75,10,20.00
-10.70,1.79,10,20.00
-10.60,1.83,10,20.00
-10.50,1.88,10,20.00
-10.40,1.92,10,20.00
-10.30,1.97,10,20.00
-10.20,2.01,10,20.00
-10.10,2.06,10,20.00
-10.00,2.10,10,20.00
-9.90,2.15,10,20.00
-9.80,2.19,10,20.00
-9.70,2.24,10,20.00
-9.60,2.28,10,20.00
-9.50,2.32,10,20.00
-9.40,2.37,10,20.00
-9.30,2.41,10,20.00
-9.20,2.47,10,20.00
-9.10,2.53,10,20.00
-9.00,2.59,10,20.00
-8.90,2.65,10,20.00
-8.80,2.71,10,20.00
-8.70,2.78,10,20.00
-8.60,2.84,10,20.00
-8.50,2.90,10,20.00
-8.40,2.96,10,20.00
-8.30,3.02,10,20.00
-8.20,3.08,10,20.00
-8.10,3.14,10,20.00
-8.00,3.19,10,20.00
-7.90,3.26,10,20.00
-7.80,3.34,10,20.00
-7.70,3.41,10,20.00
-7.60,3.49,10,20.00
-7.50,3.56,10,20.00
-7.40,3.63,10,20.00
-7.30,3.71,10,20.00
-7.20,3.80,10,20.00
-7.10,3.92,10,20.00
-7.00,4.04,10,20.00
-6.90,4.18,10,20.00
-6.80,4.32,10,20.00
-6.70,4.66,10,20.00
-6.60,5.22,10,20.00
-6.50,5.77,10,20.00
-6.40,7.09,10,20.00
-6.30,8.41,10,20.00
-6.20,10.53,10,20.00
-6.10,13.48,10,20.00
-6.00,16.42,10,20.00
-5.90,20.27,10,20.00
-5.80,24.13,10,20.00
-5.70,26.68,10,20.00
-5.60,27.93,10,20.00
-5.50,29.18,10,20.00
-5.40,29.52,10,20.00
-5.30,29.87,10,20.00
-5.20,30.17,10,20.00
-5.10,30.42,10,20.00
-5.00,30.67,10,20.00
-4.90,30.84,10,20.00
-4.80,31.02,10,20.00
-4.70,31.19,10,20.00
-4.60,31.34,10,20.00
-4.50,31.50,10,20.00
