radius_cm,angle_deg,F_r_theta,,,,,,,,,,,,,,,,
5,10,0.02094,,,,,,,,,,,,,,,,
5,15,0.02285,,,,,,,,,,,,,,,,
5,20,0.02445,,,,,,,,,,,,,,,,
5,25,0.02579,,,,,,,,,,,,,,,,
5,30,0.0269,,,,,,,,,,,,,,,,
5,40,0.02861,,,,,,,,,,,,,,,,
5,50,0.02982,,,,,,,,,,,,,,,,
5,60,0.03068,,,,,,,,,,,,,,,,
5,70,0.03135,,,,,,,,,,,,,,,,
5,80,0.03172,,,,,,,,,,,,,,,,
5,90,0.03106,,,,,,,,,,,,,,,,
7,0,0.00512,,,,,,,,,,,,,,,,
7,2,0.00557,,,,,,,,,,,,,,,,
7,5,0.00565,,,,,,,,,,,,,,,,
7,7,0.00583,,,,,,,,,,,,,,,,
7,10,0.00614,,,,,,,,,,,,,,,,
7,15,0.00661,,,,,,,,,,,,,,,,
7,20,0.00703,,,,,,,,,,,,,,,,
7,25,0.00737,,,,,,,,,,,,,,,,
7,30,0.00763,,,,,,,,,,,,,,,,
7,40,0.00807,,,,,,,,,,,,,,,,
7,50,0.0084,,,,,,,,,,,,,,,,
7,60,0.00863,,,,,,,,,,,,,,,,
7,70,0.00881,,,,,,,,,,,,,,,,
7,80,0.00888,,,,,,,,,,,,,,,,
7,90,0.00874,,,,,,,,,,,,,,,,
10,0,0.001086,,,,,,,,,,,,,,,,
10,2,0.00112,,,,,,,,,,,,,,,,
10,5,0.001159,,,,,,,,,,,,,,,,
10,7,0.001195,,,,,,,,,,,,,,,,
10,10,0.001234,,,,,,,,,,,,,,,,
10,15,0.001318,,,,,,,,,,,,,,,,
10,20,0.001393,,,,,,,,,,,,,,,,
10,25,0.001447,,,,,,,,,,,,,,,,
10,30,0.001496,,,,,,,,,,,,,,,,
10,40,0.001574,,,,,,,,,,,,,,,,
10,50,0.001629,,,,,,,,,,,,,,,,
10,60,0.001676,,,,,,,,,,,,,,,,
10,70,0.001699,,,,,,,,,,,,,,,,
10,80,0.001723,,,,,,,,,,,,,,,,
10,90,0.0017,,,,,,,,,,,,,,,,
